== Status ==
Current time: 2022-05-15 02:38:20 (running for 01:25:30.55)
Memory usage on this node: 12.2/15.9 GiB
Using AsyncHyperBand: num_stopped=100
Bracket: Iter 64.000: -0.19752756536006927 | Iter 32.000: -0.2563137107491493 | Iter 16.000: -0.32084514427185057 | Iter 8.000: -0.5145277217626572 | Iter 4.000: -0.5625903210639953 | Iter 2.000: -0.6340417296886445 | Iter 1.000: -0.6643440895080567
Resources requested: 0/12 CPUs, 0/1 GPUs, 0.0/5.16 GiB heap, 0.0/2.58 GiB objects
Result logdir: C:\Users\Marcu\ray_results\DEFAULT_2022-05-15_01-12-49
Number of trials: 100/100 (100 TERMINATED)
+---------------------+------------+-----------------+------+------+-------------+---------+--------------+-------------+-----------+-----------+------------+----------------------+
| Trial name          | status     | loc             |   l1 |   l2 |          lr |   kernw |   kernlayers | weight      |   dropout |      loss |   accuracy |   training_iteration |
| DEFAULT_5f8d0_00084 | TERMINATED | 127.0.0.1:42692 |  256 |   64 | 2.60964e-05 |      50 |           12 | [1.0, 15.0] |       0.5 |  0.69307  |       0.46 |                    1 |
| DEFAULT_5f8d0_00085 | TERMINATED | 127.0.0.1:41248 |  128 |   32 | 3.93254e-05 |      50 |           12 | [1.0, 15.0] |       0.4 |  0.742836 |       0.5  |                    1 |
| DEFAULT_5f8d0_00086 | TERMINATED | 127.0.0.1:38200 |   64 |   32 | 6.0943e-05  |      80 |            8 | [1.0, 15.0] |       0.6 |  0.760185 |       0.5  |                    1 |
| DEFAULT_5f8d0_00087 | TERMINATED | 127.0.0.1:38284 |   16 |   64 | 0.0128134   |      80 |           10 | [1.0, 5.0]  |       0.4 |  0.651002 |       0.5  |                    2 |
| DEFAULT_5f8d0_00088 | TERMINATED | 127.0.0.1:39844 |    4 |    4 | 6.14624e-05 |      90 |           10 | [1.0, 5.0]  |       0.4 |  0.949904 |       0.5  |                    1 |
| DEFAULT_5f8d0_00089 | TERMINATED | 127.0.0.1:41356 |  256 |   64 | 9.88833e-05 |      50 |            8 | [1.0, 10.0] |       0.5 |  0.632025 |       0.5  |                    4 |
| DEFAULT_5f8d0_00090 | TERMINATED | 127.0.0.1:15312 |  128 |   64 | 0.00668242  |      90 |           12 | [1.0, 15.0] |       0.5 |  0.339853 |       0.5  |                   16 |
| DEFAULT_5f8d0_00091 | TERMINATED | 127.0.0.1:41784 |   16 |   16 | 0.000452643 |      40 |           12 | [1.0, 10.0] |       0.4 |  0.686063 |       0.5  |                    1 |
| DEFAULT_5f8d0_00092 | TERMINATED | 127.0.0.1:22052 |   64 |   32 | 1.06886e-05 |      40 |           12 | [1.0, 5.0]  |       0.4 |  0.655661 |       0.5  |                    2 |
| DEFAULT_5f8d0_00093 | TERMINATED | 127.0.0.1:32784 |  256 |   64 | 2.06934e-05 |      40 |            6 | [1.0, 10.0] |       0.6 |  0.662321 |       0.5  |                    2 |
| DEFAULT_5f8d0_00094 | TERMINATED | 127.0.0.1:43056 |    4 |    4 | 0.00119748  |      50 |            6 | [1.0, 5.0]  |       0.5 |  0.912242 |       0.5  |                    1 |
| DEFAULT_5f8d0_00095 | TERMINATED | 127.0.0.1:40284 |   32 |    8 | 4.74492e-05 |      80 |           12 | [1.0, 20.0] |       0.4 |  0.573299 |       0.5  |                    4 |
| DEFAULT_5f8d0_00096 | TERMINATED | 127.0.0.1:43340 |   32 |  128 | 0.0133705   |      40 |           10 | [1.0, 20.0] |       0.5 |  8.93747  |       0.5  |                    8 |
| DEFAULT_5f8d0_00097 | TERMINATED | 127.0.0.1:39768 |  256 |   64 | 0.00600802  |      80 |            8 | [1.0, 5.0]  |       0.4 |  0.679943 |       0.5  |                    1 |
| DEFAULT_5f8d0_00098 | TERMINATED | 127.0.0.1:35632 |   32 |  256 | 1.6524e-05  |      60 |            8 | [1.0, 15.0] |       0.6 |  0.697735 |       0.5  |                    1 |
| DEFAULT_5f8d0_00099 | TERMINATED | 127.0.0.1:39816 |    4 |   64 | 4.93177e-05 |      50 |            6 | [1.0, 20.0] |       0.6 |  0.751593 |       0.5  |                    1 |
+---------------------+------------+-----------------+------+------+-------------+---------+--------------+-------------+-----------+-----------+------------+----------------------+

Best trial config: {'l1': 32, 'l2': 64, 'lr': 0.0034294955745449076, 'kernw': 60, 'kernlayers': 10, 'weight': [1.0, 10.0], 'dropout': 0.5, 'batch_size': 4}
Best trial final validation loss: 0.31083514261245726
Best trial final validation accuracy: 0.5
